Order,DES Station ID,Sample Date,EPA Designation,Depth,Weather,Phycocyanin_µg/L_Beagle_Fresh_Unfiltered,Chlorophyll_µg/L_Beagle_Fresh_Unfiltered,Phycocyanin_RFU_Turner_Fresh_Unfiltered,Chlorophyll_RFU_Turner_Fresh_Unfiltered,Phycocyanin_µg/L_Beagle_Fresh_Filtered,Chlorophyll_µg/L_Beagle_Fresh_Filtered,Phycocyanin_µg/L_Turner_Fresh_Filtered,Chlorophyll_µg/L_Turner_Fresh_Filtered,Phycocyanin_µg/L_Beagle_Frozen_Unfiltered,Chlorophyll_µg/L_Beagle_Frozen_Unfiltered,Phycocyanin_RFU_Turner_Frozen_Unfiltered,Chlorophyll_RFU_Turner_Frozen_Unfiltered,Phycocyanin_µg/L_Beagle_Frozen_Filtered,Chlorophyll_µg/L_Beagle_Frozen_Filtered,Phycocyanin_µg/L_Turner_Frozen_Filtered,Chlorophyll_µg/L_Turner_Frozen_Filtered
36,Lower Danforth WL#3,8/5/2014,WL#3,3,"Clear, calm, hot",2,0.77,1.047,9.211,1.5,0.61,0.104,3.114,,,,,,,,
37,DANLFRED,9/30/2014,WL#1,3,"Rainy, calm, cool",2.5,0.59,0.382,19.98,2.5,0.31,-0.11,-0.434,,,,,,,,
38,BROOSSD,8/5/2014,WL#4,3,"Clear, breezy, hot",1,0.56,0.318,8.166,0.1,0.31,0.105,3.151,,,,,,,,
39,LEAOSSD,8/5/2014,WL#3,3,"Clear, breezy, hot",2,0.59,0.37,5.601,0.1,0.25,-0.04,1.085,,,,,,,,
40,OBB01DL,8/5/2014,WL#2,3,"Clear, breezy, hot",0.1,0.62,0.41,8.591,0.55,0.26,0.037,2.353,,,,,,,,
41,OSSOSSD,8/5/2014,WL#1,3,"Clear, breezy, cool",0.55,0.44,0.296,7.615,1.5,0.29,-0.041,0.512,,,,,,,,
42,BROOSSD,10/1/2014,WL#4,3,"Rainy, breezy, cool",0.55,0.5,0.161,7.276,1,0.46,0.077,0.514,,,,,,,,
43,LEAOSSD,10/1/2014,WL#3,3,"Rainy, breezy, cool",1.5,0.65,0.314,8.075,0.1,0.29,-0.115,-0.486,,,,,,,,
44,OBB01DL,10/1/2014,WL#2,3,"Cloudy, breezy, cool",0.1,0.47,0.253,5.533,0.1,0.26,-0.1,-0.432,,,,,,,,
45,OSSOSSD,10/1/2014,WL#1,3,"Cloudy, calm, cool",0.1,0.5,0.262,5.435,3,0.35,-0.106,-0.647,,,,,,,,
46,BEASWHBI,8/6/2014,WL#2,3,"Cloudy, breezy, hot",3,1.35,0.193,13.92,0.55,0.83,0.066,5.678,0.1,0.67,0.575,7.027,0.1,0.65,0.375,4.995
47,BEASWHD,8/6/2014,WL#1,3,"Cloudy, breezy, hot",2.5,1.41,0.302,16.82,1,0.94,0.031,16.82,0.1,0.74,0.569,7.36,0.55,0.71,0.344,5.84
48,BEASWHSWIM,8/6/2014,SS#1,1,"Cloudy, breezy, hot",2.5,0.76,0.252,8.983,0.1,0.56,0.016,4.602,3.5,0.73,0.305,5.033,0.1,0.5,0.123,3.505
49,Bear camp WL#3,8/6/2014,WL#3,3,"Cloudy, breezy, hot",4.5,0.97,0.314,15.2,0.1,0.73,0.026,4.761,0.1,0.68,0.637,6.268,0.1,0.56,0.224,3.957
50,Bear camp SS#2,8/6/2014,SS#2,1,"Cloudy, breezy, hot",0.55,0.77,0.238,12.11,0.55,0.67,0.022,4.6,0.1,0.44,0.554,6.445,0.1,0.5,0.262,3.456
51,ROCCROD,8/7/2014,WL#1,3,"Cloudy, calm, hot",,,,,,,,,,,,,,,,
52,Rockybound SS#1,8/7/2014,SS#1,1,"Cloudy, calm, hot",,,,,,,,,,,,,,,,
53,Rockybound SS#2,8/7/2014,SS#2,1,"Cloudy, calm, hot",,,,,,,,,,,,,,,,
54,BEELTUFD,8/11/2014,WL#1,3,"Clear, calm",,,,,,,,,0.1,0,0.328,0.037,0.1,0,0.212,-1.033
55,Lower Beech Inlet SS#1,8/11/2014,SS#1,1,"Clear, calm",0.1,0.1,0.085,2.826,1,0.11,-0.01,1.27,0.1,0,0.362,-0.097,1,0,0.248,-0.95
56,Lower Beech Outlet SS#2,8/11/2014,SS#2,1,"Clear, calm",0.55,0.22,0.119,3.359,0.1,0.14,-0.029,2.053,7,0,0.795,0.919,2.5,0,0.149,-0.972
57,Gardner Lake SS#1,8/11/2014,SS#1,1,"Clear, calm, warm",,,,,,,,,,,,,,,,
58,Gardner Lake SS#2,8/11/2014,SS#2,1,"Clear, calm, warm",,,,,,,,,,,,,,,,
59,GARBATD,8/11/2014,WL#1,3,"Clear, calm, warm",,,,,,,,,,,,,,,,
60,SUNLNWLD,8/12/2014,WL#1,3,"Clear, breezy, warm",,,,,,,,,,,,,,,,
61,Little Sunapee SS#1,8/12/2014,SS#1,1,"Clear, breezy, warm",,,,,,,,,,,,,,,,
62,Little Sunapee WL#2,8/12/2014,WL#2,3,"Clear, breezy, warm",,,,,,,,,,,,,,,,
63,Little Sunapee WL#3,8/12/2014,WL#3,3,"Clear, breezy, warm",,,,,,,,,,,,,,,,
64,SILHARD,8/14/2014,WL#1,3,"Cloudy, breezy, cool",3.5,0,0.002,1.066,1.5,0,-0.082,-1.383,3,0.2,0.117,-0.801,3.5,0.11,-0.27,-1.675
65,SILHARO,8/14/2014,SS#2,1,"Cloudy, breezy, cool",6,0.2,0.039,3.413,1.5,0.08,-0.099,-0.494,3,0.28,0.197,0.118,5.5,0.28,0.034,-1.538
66,SILHARSB1,8/14/2014,SS#1,1,"Cloudy, breezy, cool",6,0.01,0.7,1.581,5.5,0,-0.038,-1.17,6,0.14,0.056,-1.313,0.1,0.14,-0.067,-2.857
67,Silver Lake WL#2,8/14/2014,WL#2,3,"Cloudy, breezy, cool",2.5,0,0.038,0.418,2.5,0,-0.048,0.418,0.1,0.17,0.127,-2.385,1,0.14,-0.119,-3.461
68,Silver Lake WL#3,8/14/2014,WL#3,3,"Cloudy, breezy, cool",5,0,-0.024,0.556,7,0,-0.018,-1.549,0.1,0.14,0.07,-2.461,0.1,0.11,-0.08,-3.151
69,ARMPIED,8/14/2014,WL#1,3,,4.5,0.37,0.215,13.2,2.5,0.17,0.027,2.474,3.5,0,0.485,1.584,2.5,0.02,0.152,-0.609
70,TARPIED,8/14/2014,WL#1,7,"Cloudy, calm, cool",27,0.23,0.205,6.315,5,0.23,0.018,0.312,3.5,0.08,0.477,1.443,3,0.08,0.226,-0.231
71,CANCAND,8/14/2014,WL#1,3,"Cloudy, windy, cool",6,0.38,0.215,7.32,5,0.23,0.006,0.356,1,0,0.404,0.354,3.5,0.05,0.208,-1.143
72,Canaan St. Lake WL#2,8/14/2014,WL#2,3,"Cloudy, windy, cool",8.5,0.65,0.227,17.81,7,0.16,-0.006,0.614,3,0.04,0.269,0.153,1,0,0.137,-1.442
73,Eastman Pond WL#1,8/18/2014,WL#1,3,"Cloudy, breezy, cool",,,,,,,,,,,,,,,,
74,Eastman Pond WL#2,8/18/2014,WL#2,3,"Cloudy, breezy, cool",,,,,,,,,,,,,,,,
75,EASGTM8,8/18/2014,SS#1,1,"Cloudy, breezy, cool",,,,,,,,,,,,,,,,
76,EASGTMWCB,8/18/2014,SS#2,1,"Cloudy, breezy, cool",,,,,,,,,,,,,,,,
77,AYEBARD,8/18/2014,WL#1,3,"Clear, breezy, cool",6.5,0.32,0.259,8.056,5.5,0.28,0.017,-0.095,3,0.32,0.334,-0.507,0.1,0.28,0.193,-1.539
78,BCHFIRBRRLF,8/18/2014,SS#1,1,"Clear, breezy, cool",4,0.34,0.128,5.59,0.55,0.19,0.008,4.235,2,0.31,0.251,-0.405,0.1,0.25,0.095,-1.878
79,Ayers Lake WL#2,8/18/2014,WL#2,3,"Clear, breezy, cool",4,0.35,0.307,7.229,6.5,0.31,0.019,1.292,3,0,0.382,-0.263,0.1,0,-0.015,-2.055
80,Ayers Lake WL#3,8/18/2014,WL#3,3,"Clear, breezy, cool",5.5,0.47,0.185,6.204,3.5,0.07,-0.068,-0.744,3,0.01,0.262,-0.408,2.5,0,-0.01,-1.741
81,Ayers Lake SS#2,8/18/2014,SS#2,1,"Clear, breezy, cool",3.5,0.43,0.301,8.309,7.5,0.23,-0.05,0.346,2.5,0,0.289,0.135,1,0,-0.036,-1.816
82,ISLDERD,8/18/2014,WL#1,3,,1,0.46,0.163,7.006,1.5,0.28,0.008,0.878,1.5,0.07,0.182,1.271,2.5,0.01,0.003,-1.006
83,ISLDERPC,8/18/2014,WL#2,3,,1,0.68,0.243,10.86,2,0.62,-0.018,2.364,2.5,0.19,0.338,1.555,0.1,0.04,0.036,-0.599
84,ISLDERJC,8/18/2014,WL#3,3,,4,0.61,0.091,8.962,0.1,0.29,0.022,0.621,0.1,0.13,0.264,1.592,0.1,0.08,0.036,0.232
85,Lees Pond WL#1,8/18/2014,WL#1,3,"Clear, breezy, cool",5,1.16,0.391,19.31,1,0.98,0.105,7.348,0.1,0.77,0.189,9.117,0.1,0.79,0.402,0.107
86,Lees Pond WL#2,8/18/2014,WL#2,3,"Clear, breezy, cool",0.55,1.43,0.305,22.79,0.1,0.89,0.022,4.652,1,0.65,0.159,0.159,2,0.61,-0.024,4.297
87,Lees Pond WL#3,8/18/2014,WL#3,3,"Clear, breezy, cool",0.55,1.11,0.534,15.82,2.5,1.04,0.105,7.112,1,0.74,0.217,5.808,0.1,0.67,-0.004,5.067
88,Lees Pond SS#1,8/18/2014,SS#1,1,"Clear, breezy, cool",0.1,1.11,0.193,18.56,0.55,1.01,0.092,6.319,1.5,0.67,0.19,6.704,1,0.7,0.085,5.538
89,Lees Pond SS#2,8/18/2014,SS#2,1,"Clear, breezy, cool",2,1.62,0.364,36.69,1.5,1.13,0.114,5.726,0.1,0.64,0.328,7.195,2,0.56,-0.038,4.522
90,Mascoma Lake- Dalton,8/19/2014,WL#3,3,"Clear, calm, cool",,,,,,,,,,,,,,,,
91,Mascoma Lake- Dam End,8/19/2014,WL#2,3,"Clear, calm, cool",,,,,,,,,,,,,,,,
92,Mascoma Lake- Dartmouth Sail Club,8/19/2014,SS#2,1,"Clear, calm, cool",,,,,,,,,,,,,,,,
93,Mascoma Lake- Shakoma,8/19/2014,SS#1,1,"Clear, calm, cool",,,,,,,,,,,,,,,,
94,MASENF1D,8/19/2014,WL#1,3,"Clear, calm, cool",,,,,,,,,,,,,,,,
95,THOJAFD,8/20/2014,WL#2,3,"Cloudy, calm, hot",,,,,,,,,,,,,,,,
96,THOJAFNW,8/20/2014,SS#2,1,"Cloudy, calm, hot",,,,,,,,,,,,,,,,
97,THOJAFSW,8/20/2014,SS#1,1,"Cloudy, calm, hot",,,,,,,,,,,,,,,,
98,Thorndike Pond WL#1,8/20/2014,WL#1,3,"Cloudy, calm, hot",,,,,,,,,,,,,,,,
99,Thorndike Pond WL#3,8/20/2014,WL#3,3,"Cloudy, calm, hot",,,,,,,,,,,,,,,,
100,WICMERD,8/24/2014,WL#1,3,"Clear, calm, hot",,,,,,,,,,,,,,,,
101,WICMEREC,8/24/2014,WL#2,3,"Clear, calm, hot",,,,,,,,,,,,,,,,
102,WICMERLR,8/24/2014,SS#1,1,"Clear, calm, hot",,,,,,,,,,,,,,,,
103,WICMER2,8/24/2014,WL#3,3,"Clear, calm, hot",,,,,,,,,,,,,,,,
104,WICMERD,9/28/2014,WL#1,3,"Cloudy, calm, cool",0.1,1.25,0.139,15.83,0.55,0.37,-0.039,0.51,,,,,,,,
105,WICMEREC,9/28/2014,WL#2,3,"Cloudy, calm, cool",4.5,0.79,0.066,21.89,0.1,0.34,-0.071,0.075,,,,,,,,
106,WICMERLR,9/28/2014,SS#1,1,"Cloudy, calm, cool",2.5,0.5,0.264,5.37,1,0.37,-0.035,0.905,,,,,,,,
107,WICMER2,9/28/2014,WL#3,3,"Cloudy, calm, cool",2,0.7,0.61,11.11,1.5,0.32,-0.077,0.05,,,,,,,,
108,Wicwas Lake SS#2,9/28/2014,SS#2,0.5,"Cloudy, calm, cool",4,0.47,0.584,5.835,6,0.46,0.096,0.59,,,,,,,,
109,SKAHARD,8/24/2014,WL#1,3,"Clear, breezy, warm",,,,,,,,,,,,,,,,
110,SKAHARSP,8/24/2014,SS#1,1,"Clear, breezy, warm",,,,,,,,,,,,,,,,
111,DUBDUBDLC,8/25/2014,GRAB,0,,,,,,,,,,,,,,,,,
112,Sand Pond SS#1,8/26/2014,SS#1,1,"Clear, breezy, cool",,,,,,,,,,,,,,,,
113,Sand Pond SS#2,8/26/2014,SS#2,1,"Clear, breezy, cool",,,,,,,,,,,,,,,,
114,Sand Pond WL#2,8/26/2014,WL#2,3,"Clear, breezy, cool",,,,,,,,,,,,,,,,
115,SANMLWD,8/26/2014,WL#1,3,"Clear, breezy, cool",,,,,,,,,,,,,,,,
116,CLEHOPD,8/26/2014,WL#1,3,,2,0.43,0.192,7.808,1,0.29,0.055,0.425,,,,,,,,
117,Clement Pond WL#2,8/26/2014,WL#2,3,,1,0.46,0.189,8.391,5,0.26,0.071,0.837,,,,,,,,
118,Clement Pond WL#3,8/26/2014,WL#3,3,,0.1,0.35,0.218,5.338,0.1,0.23,0.511,0.991,,,,,,,,
119,SEBBEDB,8/27/2014,WL#2,3,"Cloudy, calm, hot",8.5,3.26,1.955,136.3,1.5,1.89,0.446,13.86,16.5,2.02,3.009,25.57,0.1,1.7,0.404,14.82
120,SEBBEDD,8/27/2014,WL#1,3,"Cloudy, calm, hot",2.5,0.53,0.591,6.435,0.55,0.31,0.114,1.406,1,0.52,0.853,5.989,1.5,0.32,0.183,0.136
121,SEBBEDO,8/27/2014,SS#1,1,"Cloudy, calm, hot",0.1,0.46,0.632,16.28,0.1,0.26,0.21,0.905,,,,,,,,
122,SEBBED2,8/27/2014,SS#2,1,"Cloudy, calm, hot",4.5,0.53,0.254,23.77,0.1,0.25,0.238,1.767,,,,,,,,
123,Sebbins Pond WL#3,8/27/2014,WL#3,3,"Cloudy, calm, hot",5.5,1.22,1.133,51.37,0.1,0.29,0.104,1.052,1.5,0.5,1.121,25.98,1,0.23,0.138,1.157
124,GRASTDD,9/7/2014,WL#1,3,"Clear, breezy, warm",4.5,0.11,0.205,1.916,2.5,0.05,0.063,0.984,0.1,0,0.287,-1.577,0,0,0.0149,-2.193
125,Granite Lake WL#2,9/7/2014,WL#2,3,"Clear, breezy, warm",1.5,0.05,0.188,2.017,3.5,0.01,0.026,0.059,0.1,0,0.238,-1.061,0.1,0,0.065,-2.264
126,Granite Lake WL#3,9/7/2014,WL#3,3,"Clear, breezy, warm",4,0.05,0.123,0.764,6.5,0.05,0.019,0.153,2,0,0.244,-1.622,3,0,0.193,-2.163
127,Lake Kanesatka- Beach,9/8/2014,GRAB,0,"Clear, calm, warm",196.23,3.5,31.24,70.16,17.5,0.34,1.257,3.571,842.43,7.15,77.83,76,0.1,0.01,0.568,0.32
128,Lake Kanesatka- Dock,9/8/2014,GRAB,0,"Clear, calm, warm",7.5,0.25,0.177,7.609,2,0.19,0.018,1.103,0.1,0,0.291,-0.811,0.1,0,0.123,-1.593
129,NUBNELD,9/10/2014,WL#1,3,"Cloudy, calm, cool",2.5,0.07,0.092,0.412,2,0,-0.061,-2.01,0.55,0.25,0.247,-1.522,1.5,0.13,0.121,-2.929
130,NUBNELH,9/10/2014,SS#1,1,"Cloudy, calm, cool",6.5,0.34,0.139,0.28,2.5,0,-0.061,-2.028,1.5,0.2,0.272,-1.393,1.5,0.13,-0.045,-3.097
131,NUBNELO,9/10/2014,SS#2,1,"Cloudy, calm, cool",5,0.1,0.102,0.797,3,0,-0.07,-1.98,1.5,0.2,0.04,-2.051,4,0.16,-0.011,-3.065
132,HUNSAND,9/12/2014,WL#1,3,"Clear, windy, cool",31,1.13,4.13,16.93,44.5,1.16,5.072,14.74,,,,,,,,
133,HUNSANN,9/12/2014,SS#1,1,"Clear, windy, cool",35,1.1,4.489,17.7,7,0.37,0.296,1.801,,,,,,,,
134,SHOSDN-GEN,9/25/2014,GRAB,0,"Overcast, calm, cool",25,1.55,3.323,27.81,0.1,0.7,-0.014,3.662,,,,,,,,
135,TOWCND-GEN,9/29/2014,GRAB,0,,1791.65,13.83,200.4,182.3,6,0.73,,,,,,,,,,
136,BCHLEGFRKLF,9/30/2014,GRAB,0,"Overcast, cool, breezy",93,2.28,38.96,66.12,13,0.46,1.052,3.782,1240.93,8.62,107.6,67.04,6.5,0.5,0.273,-0.199
137,SUNSUN1D,9/15/2014,WL#1,3,"partly cloudy, cool, breezy",,,,,,,,,,,,,,,,
138,SUNSUN2D,9/15/2014,WL#2,3,"partly cloudy, cool, breezy",,,,,,,,,,,,,,,,
139,SUNSUN220D,9/15/2014,WL#3,3,"partly cloudy, cool, breezy",,,,,,,,,,,,,,,,
140,SUNSUN3D,9/15/2014,WL#4,3,"partly cloudy, cool, breezy",,,,,,,,,,,,,,,,
141,BCHLEGFRKLF,6/30/2014,GRAB,0,,,,,,,,,,347.31,10.38,47.75,137.4,34.5,1.13,3.444,4.881
142,BCHLEGFRKLF,7/7/2014,GRAB,0,,,,,,,,,,0.1,0.26,0.001,-1.376,0.1,0.28,-0.006,-3.523
143,BCHLEGFRKLF,7/7/2014,GRAB,0,,,,,,,,,,0.1,0.31,-0.01,-1.485,0.1,0.28,0.016,-1.62
144,BEELTUFD,8/11/2014,WL#1,3,"Clear, calm",0.1,0.13,0.066,3.88,2.5,0.13,-0.04,1.912,,,,,,,,
