WBID,LocID,LocIDNew,Organization,Longitude,Latitude,WaterbodyName,SiteID,SiteLocation,SampleLocation,Distance,freqLocID,freqWBID,siteDescription,siteComment
6739046,29,29,NHDES,-71.236681,43.39525,2,HALALTPUB,HALFMOON LAKE-PUBLIC BEACH,SS2,37.34748829,1,4,WBID= 6739046 NHDES 2 HALALTPUB HALFMOON LAKE-PUBLIC BEACH SS2,
6127339,170,169,RIWW,-71.4456,41.7747,Blackmore Pond,WW05,NA,SS1,30.71333155,1,4,WBID= 6127339 RIWW Blackmore Pond WW05 SS1,
6127315,166,167,RIWW,-71.4142,41.7773,Roger Williams Park Pond,WW37,Cunliff Pond (RWP #7),SS1,29.12199644,1,8,WBID= 6127315 RIWW Roger Williams Park Pond WW37 Cunliff Pond (RWP #7) SS1,
6140628,193,172,RIWW,-71.7996,41.3823,Chapman Pond,WW200,NA,SS1,24.45478723,1,26,WBID= 6140628 RIWW Chapman Pond WW200 SS,
6140628,173,172,RIWW,-71.7997,41.3822,Chapman Pond,WW200,NA,SS1,21.41863926,1,26,WBID= 6140628 RIWW Chapman Pond WW200 SS,
6777259,74,74,NHDES,-72.1328,42.949389,17,SILHARO,SILVER LAKE-OUTLET IN STREAM,SS2,19.95487674,1,5,WBID= 6777259 NHDES 17 SILHARO SILVER LAKE-OUTLET IN STREAM SS2,
6127315,167,167,RIWW,-71.4142,41.7774,Roger Williams Park Pond,WW37,Cunliff Pond (RWP #7),SS1,19.56596471,1,8,WBID= 6127315 RIWW Roger Williams Park Pond WW37 Cunliff Pond (RWP #7) SS1,
6127339,169,169,RIWW,-71.445,41.7753,Blackmore Pond,WW05,NA,SS1,17.94978327,1,4,WBID= 6127339 RIWW Blackmore Pond WW05 SS1,
4594887,67,67,NHDES,-72.007627,44.16327,15,Gardner Lake SS#2,NA,SS2,17.83540732,1,3,WBID= 4594887 NHDES 15 Gardner Lake SS#2 SS2,
6140628,171,172,RIWW,-71.7995,41.3822,Chapman Pond,WW200,NA,SS1,10.55941356,3,26,WBID= 6140628 RIWW Chapman Pond WW200 SS,
6140628,171,172,RIWW,-71.7995,41.3822,Chapman Pond,WW200,NA,SS2,10.55941356,3,26,WBID= 6140628 RIWW Chapman Pond WW200 SS,
6140628,171,172,RIWW,-71.7995,41.3822,Chapman Pond,WW200,NA,SS3,10.55941356,3,26,WBID= 6140628 RIWW Chapman Pond WW200 SS,
9328412,70,70,NHDES,-72.019467,43.435067,16,Little Sunapee SS#1,NA,SS1,10.28818019,1,4,WBID= 9328412 NHDES 16 Little Sunapee SS#1 SS1,
6777319,116,116,NHDES,-72.072383,42.904269,29,DUBDUBDLC,DUBLIN POND-DUBLIN LAKE CLUB,Other,8.604925603,1,1,WBID= 6777319 NHDES 29 DUBDUBDLC DUBLIN POND-DUBLIN LAKE CLUB Other,
22287529,136,136,NHDES,-72.086,42.973889,35,NUBNELO,NUBANUSIT LAKE-OUTLET IN STREAM,SS2,6.363833782,1,3,WBID= 22287529 NHDES 35 NUBNELO NUBANUSIT LAKE-OUTLET IN STREAM SS2,
6140576,174,174,RIWW,-71.6326,41.4244,Pasquisett Pond,WW30,NA,SS1,5.629291444,1,13,WBID= 6140576 RIWW Pasquisett Pond WW30 SS,
6127295,178,183,RIWW,-71.4677,41.789,Randall Pond,WW36,NA,SS1,3.387030453,1,21,WBID= 6127295 RIWW Randall Pond WW36 SS,
6764472,105,105,NHDES,-72.0573,42.865583,26,THOJAFNW,THORNDIKE POND-NORTH WEST INLET,SS2,3.280165318,1,5,WBID= 6764472 NHDES 26 THOJAFNW THORNDIKE POND-NORTH WEST INLET SS2,
6140576,176,174,RIWW,-71.6326,41.4243,Pasquisett Pond,WW30,NA,SS1,1.000557103,3,13,WBID= 6140576 RIWW Pasquisett Pond WW30 SS,
6140576,176,174,RIWW,-71.6326,41.4243,Pasquisett Pond,WW30,NA,SS2,1.000557103,3,13,WBID= 6140576 RIWW Pasquisett Pond WW30 SS,
6140576,176,174,RIWW,-71.6326,41.4243,Pasquisett Pond,WW30,NA,SS3,1.000557103,3,13,WBID= 6140576 RIWW Pasquisett Pond WW30 SS,
7717850,143,143,CTDEEP,-73.206937,41.424144,Housatonic River (Kettletown),18713,at middle of beach,SS1,0,1,1,WBID= 7717850 CTDEEP Housatonic River (Kettletown) 18713 at middle of beach SS1,
6161343,145,145,CTDEEP,-72.428591,41.798303,Lower Bolton Lake,18475,at boat ramp,SS1,0,1,1,WBID= 6161343 CTDEEP Lower Bolton Lake 18475 at boat ramp SS1,
7711464,146,146,CTDEEP,-73.28029,41.697709,Mount Tom Pond,18715,at middle of beach,SS1,0,1,1,WBID= 7711464 CTDEEP Mount Tom Pond 18715 at middle of beach SS1,
9328420,24,24,NHDES,-72.0426,43.406083,1,SUNSUN1D,SUNAPEE LAKE-200 STN 1 DEEP SPOT,WL1,0,1,4,WBID= 9328420 NHDES 1 SUNSUN1D SUNAPEE LAKE-200 STN 1 DEEP SPOT WL1,
9328420,25,25,NHDES,-72.055997,43.361911,1,SUNSUN220D,SUNAPEE LAKE-220 DEEP SPOT,WL3,0,1,4,WBID= 9328420 NHDES 1 SUNSUN220D SUNAPEE LAKE-220 DEEP SPOT WL3,
9328420,26,26,NHDES,-72.0627,43.3836,1,SUNSUN2D,SUNAPEE LAKE-210 STN 2 DEEP SPOT,WL2,0,1,4,WBID= 9328420 NHDES 1 SUNSUN2D SUNAPEE LAKE-210 STN 2 DEEP SPOT WL2,
9328420,27,27,NHDES,-72.0494,43.342778,1,SUNSUN3D,SUNAPEE LAKE-230 STN 3 DEEP SPOT,WL4,0,1,4,WBID= 9328420 NHDES 1 SUNSUN3D SUNAPEE LAKE-230 STN 3 DEEP SPOT WL4,
6739046,28,28,NHDES,-71.227694,43.391083,2,HALALTD,HALFMOON LAKE-DEEP SPOT,WL1,0,1,4,WBID= 6739046 NHDES 2 HALALTD HALFMOON LAKE-DEEP SPOT WL1,
6739046,31,31,NHDES,-71.217014,43.389308,2,HALALTHWB,HALFMOON POND-HOLLYWOOD BEACH,SS3,0,1,4,WBID= 6739046 NHDES 2 HALALTHWB HALFMOON POND-HOLLYWOOD BEACH SS3,
9328120,32,32,NHDES,-72.0095,43.4008,3,MESNWLD,MESSER POND-DEEP SPOT,WL1,0,1,1,WBID= 9328120 NHDES 3 MESNWLD MESSER POND-DEEP SPOT WL1,
6743208,34,34,NHDES,-71.425831,42.772744,5,OTTHUDBL,OTTERNICK POND-BOAT LAUNCH,Other,0,1,1,WBID= 6743208 NHDES 5 OTTHUDBL OTTERNICK POND-BOAT LAUNCH Other,
6743322,35,35,NHDES,-71.3671,42.698694,6,LONPELNHD,LONG POND-NH DEEP SPOT,WL3,0,1,2,WBID= 6743322 NHDES 6 LONPELNHD LONG POND-NH DEEP SPOT WL3,
6760662,37,37,NHDES,-71.7749,43.19,7,FREHENCAMP,FRENCH POND-CAMPGROUND SWIM AREA,SS2,0,1,5,WBID= 6760662 NHDES 7 FREHENCAMP FRENCH POND-CAMPGROUND SWIM AREA SS2,
6760662,38,38,NHDES,-71.775972,43.192722,7,FREHEND,FRENCH POND-DEEP SPOT,WL1,0,1,5,WBID= 6760662 NHDES 7 FREHEND FRENCH POND-DEEP SPOT WL1,
6760662,40,40,NHDES,-71.774862,43.192772,7,FREHEND2,FREHEND2,WL2,0,1,5,WBID= 6760662 NHDES 7 FREHEND2 FREHEND2 WL2,
6760662,41,41,NHDES,-71.77705,43.191035,7,FREHEND3,FREHEND3,WL3,0,1,5,WBID= 6760662 NHDES 7 FREHEND3 FREHEND3 WL3,
5849710,43,43,NHDES,-71.187874,42.918884,8,PHISDND,PHILLIPS POND-DEEP SPOT,WL1,0,1,7,WBID= 5849710 NHDES 8 PHISDND PHILLIPS POND-DEEP SPOT WL1,
5849710,44,44,NHDES,-71.190441,42.914415,8,Phillips Pond WL#2,Phillips Pond WL#2,WL2,0,1,7,WBID= 5849710 NHDES 8 Phillips Pond WL#2 Phillips Pond WL#2 WL2,
5849710,45,45,NHDES,-71.188273,42.922492,8,Phillips Pond WL#3,Phillips Pond WL#3,WL3,0,1,7,WBID= 5849710 NHDES 8 Phillips Pond WL#3 Phillips Pond WL#3 WL3,
5849710,46,46,NHDES,-71.187617,42.923667,8,Phillips Pond SS#1,Phillips Pond SS#1,SS1,0,2,7,WBID= 5849710 NHDES 8 Phillips Pond SS#2 Phillips Pond SS1 & SS2,
5849710,46,46,NHDES,-71.187617,42.923667,8,Phillips Pond SS#2,Phillips Pond SS#2,SS2,0,2,7,WBID= 5849710 NHDES 8 Phillips Pond SS#2 Phillips Pond SS1 & SS2,
6743222,48,48,NHDES,-71.597028,42.760028,9,BCHSLSHLSRT,SILVER LAKE SP-RIGHT,SS1,0,1,2,WBID= 6743222 NHDES 9 BCHSLSHLSRT SILVER LAKE SP-RIGHT SS1,
9315181,49,49,NHDES,-71.1038,43.820083,10,DANLFRED,LOWER DANFORTH POND-DEEP SPOT,WL1,0,1,3,WBID= 9315181 NHDES 10 DANLFRED LOWER DANFORTH POND-DEEP SPOT WL1,
9315181,50,50,NHDES,-71.103917,43.821694,10,Lower Danforth WL#2,Lower Danforth WL#2,WL2,0,1,3,WBID= 9315181 NHDES 10 Lower Danforth WL#2 Lower Danforth WL#2 WL2,
9315181,51,51,NHDES,-71.103694,43.828889,10,Lower Danforth WL#3,Lower Danforth WL#3,WL3,0,1,3,WBID= 9315181 NHDES 10 Lower Danforth WL#3 Lower Danforth WL#3 WL3,
9315189,52,52,NHDES,-71.101078,43.804067,11,BROOSSD,BROAD BAY-DEEP SPOT,WL4,0,1,4,WBID= 9315189 NHDES 11 BROOSSD BROAD BAY-DEEP SPOT WL4,
9315189,53,53,NHDES,-71.081038,43.79682,11,LEAOSSD,LEAVITT BAY-DEEP SPOT,WL3,0,1,4,WBID= 9315189 NHDES 11 LEAOSSD LEAVITT BAY-DEEP SPOT WL3,
9315189,54,54,NHDES,-71.075167,43.804833,11,OBB01DL,OSSIPEE LAKE-BERRY BAY-1 DEEP SPOT,WL2,0,1,4,WBID= 9315189 NHDES 11 OBB01DL OSSIPEE LAKE-BERRY BAY-1 DEEP SPOT WL2,
9315189,55,55,NHDES,-71.1386,43.7795,11,OSSOSSD,OSSIPEE LAKE-DEEP SPOT,WL1,0,1,4,WBID= 9315189 NHDES 11 OSSOSSD OSSIPEE LAKE-DEEP SPOT WL1,
9315185,56,56,NHDES,-71.369067,43.81665,12,BEASWHBI,BEARCAMP POND-BIG ISLAND SWIM,WL2,0,1,5,WBID= 9315185 NHDES 12 BEASWHBI BEARCAMP POND-BIG ISLAND SWIM WL2,
9315185,57,57,NHDES,-71.3689,43.814583,12,BEASWHD,BEARCAMP POND-DEEP SPOT,WL1,0,1,5,WBID= 9315185 NHDES 12 BEASWHD BEARCAMP POND-DEEP SPOT WL1,
9315185,58,58,NHDES,-71.376558,43.813617,12,BEASWHSWIM,BEARCAMP POND-SWIM AREA,SS1,0,1,5,WBID= 9315185 NHDES 12 BEASWHSWIM BEARCAMP POND-SWIM AREA SS1,
9315185,59,59,NHDES,-71.373625,43.814835,12,Bear camp WL#3,Bear camp WL#3,WL3,0,1,5,WBID= 9315185 NHDES 12 Bear camp WL#3 Bear camp WL#3 WL3,
9315185,60,60,NHDES,-71.3712,43.813147,12,Bear camp SS#2,Bear camp SS#2,SS2,0,1,5,WBID= 9315185 NHDES 12 Bear camp SS#2 Bear camp SS#2 SS2,
9328402,61,61,NHDES,-72.145056,43.446417,13,ROCCROD,ROCKYBOUND POND-DEEP SPOT,WL1,0,1,3,WBID= 9328402 NHDES 13 ROCCROD ROCKYBOUND POND-DEEP SPOT WL1,
9328402,62,62,NHDES,-72.144431,43.44701,13,Rockybound SS#1,NA,SS1,0,2,3,WBID= 9328402 NHDES 13 Rockybound SS1 SS2,
9328402,62,62,NHDES,-72.144431,43.44701,13,Rockybound SS#2,NA,SS2,0,2,3,WBID= 9328402 NHDES 13 Rockybound SS1 SS2,
9315253,63,63,NHDES,-71.207289,43.672189,14,BEELTUFD,LOWER BEECH POND-DEEP SPOT,WL1,0,1,3,WBID= 9315253 NHDES 14 BEELTUFD LOWER BEECH POND-DEEP SPOT WL1,
9315253,64,64,NHDES,-71.205826,43.677122,14,Lower Beech Inlet SS#1,Lower Beech Inlet SS#1,SS1,0,1,3,WBID= 9315253 NHDES 14 Lower Beech Inlet SS#1 Lower Beech Inlet SS#1 SS1,
4594887,66,66,NHDES,-72.0106,44.1638,15,Gardner Lake SS#1,NA,SS1,0,1,3,WBID= 4594887 NHDES 15 Gardner Lake SS#1 SS1,
4594887,68,68,NHDES,-72.009,44.1634,15,GARBATD,GARDNER LAKE-DEEP SPOT,WL1,0,1,3,WBID= 4594887 NHDES 15 GARBATD GARDNER LAKE-DEEP SPOT WL1,
9328412,69,69,NHDES,-72.0118,43.433083,16,SUNLNWLD,LITTLE SUNAPEE LAKE-DEEP SPOT,WL1,0,1,4,WBID= 9328412 NHDES 16 SUNLNWLD LITTLE SUNAPEE LAKE-DEEP SPOT WL1,
9328412,71,71,NHDES,-72.014417,43.435,16,Little Sunapee WL#2,NA,WL2,0,1,4,WBID= 9328412 NHDES 16 Little Sunapee WL#2 WL2,
9328412,72,72,NHDES,-72.022417,43.4319,16,Little Sunapee WL#3,NA,WL3,0,1,4,WBID= 9328412 NHDES 16 Little Sunapee WL#3 WL3,
6777259,73,73,NHDES,-72.14,42.961194,17,SILHARD,SILVER LAKE- DEEP SPOT,WL1,0,1,5,WBID= 6777259 NHDES 17 SILHARD SILVER LAKE- DEEP SPOT WL1,
6777259,75,75,NHDES,-72.138703,42.972111,17,SILHARSB1,SILVER LAKE-SANDY BCH INLET 1,SS1,0,1,5,WBID= 6777259 NHDES 17 SILHARSB1 SILVER LAKE-SANDY BCH INLET 1 SS1,
6777259,76,76,NHDES,-72.139535,42.971089,17,Silver Lake WL#2,Silver Lake WL#2,WL2,0,1,5,WBID= 6777259 NHDES 17 Silver Lake WL#2 Silver Lake WL#2 WL2,
6777259,77,77,NHDES,-72.13563,42.951554,17,Silver Lake WL#3,Silver Lake WL#3,WL3,0,1,5,WBID= 6777259 NHDES 17 Silver Lake WL#3 Silver Lake WL#3 WL3,
9326262,78,78,NHDES,-71.9692,43.958389,18,ARMPIED,ARMINGTON LAKE-DEEP SPOT,WL1,0,1,1,WBID= 9326262 NHDES 18 ARMPIED ARMINGTON LAKE-DEEP SPOT WL1,
9326256,79,79,NHDES,-71.963278,43.977,19,TARPIED,TARLETON LAKE-DEEP SPOT,WL1,0,1,1,WBID= 9326256 NHDES 19 TARPIED TARLETON LAKE-DEEP SPOT WL1,
9326568,80,80,NHDES,-72.0339,43.664194,20,CANCAND,CANAAN STREET LAKE-DEEP SPOT,WL1,0,1,2,WBID= 9326568 NHDES 20 CANCAND CANAAN STREET LAKE-DEEP SPOT WL1,
9326568,81,81,NHDES,-72.035809,43.667996,20,Canaan St. Lake WL#2,Canaan St. Lake WL#2,WL2,0,1,2,WBID= 9326568 NHDES 20 Canaan St. Lake WL#2 Canaan St. Lake WL#2 WL2,
9326688,82,82,NHDES,-72.1151,43.518283,21,Eastman Pond WL#1,NA,WL1,0,1,4,WBID= 9326688 NHDES 21 Eastman Pond WL#1 WL1,
9326688,83,83,NHDES,-72.11845,43.5318,21,Eastman Pond WL#2,NA,WL2,0,1,4,WBID= 9326688 NHDES 21 Eastman Pond WL#2 WL2,
9326688,85,85,NHDES,-72.12274,43.526308,21,EASGTMWCB,EASTMAN POND-WEST COVE B BEACH,SS2,0,1,4,WBID= 9326688 NHDES 21 EASGTMWCB EASTMAN POND-WEST COVE B BEACH SS2,
5846928,86,86,NHDES,-71.0433,43.256,22,AYEBARD,AYERS POND-DEEP SPOT,WL1,0,1,5,WBID= 5846928 NHDES 22 AYEBARD AYERS POND-DEEP SPOT WL1,
5846928,87,87,NHDES,-71.033837,43.261517,22,BCHFIRBRRLF,CAMP FIRESIDE-LEFT,SS1,0,1,5,WBID= 5846928 NHDES 22 BCHFIRBRRLF CAMP FIRESIDE-LEFT SS1,
5846928,88,88,NHDES,-71.048412,43.253455,22,Ayers Lake WL#2,Ayers Lake WL#2,WL2,0,1,5,WBID= 5846928 NHDES 22 Ayers Lake WL#2 Ayers Lake WL#2 WL2,
5846928,89,89,NHDES,-71.038456,43.258643,22,Ayers Lake WL#3,Ayers Lake WL#3,WL3,0,1,5,WBID= 5846928 NHDES 22 Ayers Lake WL#3 Ayers Lake WL#3 WL3,
5846928,90,90,NHDES,-71.040945,43.252955,22,Ayers Lake SS#2,NA,SS2,0,1,5,WBID= 5846928 NHDES 22 Ayers Lake SS#2 SS2,
6743056,91,91,NHDES,-71.211389,42.866,23,ISLDERD,BIG ISLAND POND-DEEP SPOT,WL1,0,1,3,WBID= 6743056 NHDES 23 ISLDERD BIG ISLAND POND-DEEP SPOT WL1,
6743056,92,92,NHDES,-71.197175,42.880583,23,ISLDERPC,BIG ISLAND POND-PERCH (CAMP) COVE,WL2,0,1,3,WBID= 6743056 NHDES 23 ISLDERPC BIG ISLAND POND-PERCH (CAMP) COVE WL2,
6743056,93,93,NHDES,-71.203786,42.859475,23,ISLDERJC,BIG ISLAND POND-JOHNSON COVE,WL3,0,1,3,WBID= 6743056 NHDES 23 ISLDERJC BIG ISLAND POND-JOHNSON COVE WL3,
6738100,94,94,NHDES,-71.3964667,43.7380667,24,Lees Pond WL#1,Lees Pond WL#1,WL1,0,1,5,WBID= 6738100 NHDES 24 Lees Pond WL#1 Lees Pond WL#1 WL1,
6738100,95,95,NHDES,-71.3956667,43.7386667,24,Lees Pond WL#2,Lees Pond WL#2,WL2,0,1,5,WBID= 6738100 NHDES 24 Lees Pond WL#2 Lees Pond WL#2 WL2,
6738100,96,96,NHDES,-71.39975,43.73895,24,Lees Pond WL#3,Lees Pond WL#3,WL3,0,1,5,WBID= 6738100 NHDES 24 Lees Pond WL#3 Lees Pond WL#3 WL3,
6738100,97,97,NHDES,-71.40105,43.7366833,24,Lees Pond SS#1,Lees Pond SS#1,SS1,0,1,5,WBID= 6738100 NHDES 24 Lees Pond SS#1 Lees Pond SS#1 SS1,
6738100,98,98,NHDES,-71.3943667,43.7371333,24,Lees Pond SS#2,Lees Pond SS#2,SS2,0,1,5,WBID= 6738100 NHDES 24 Lees Pond SS#2 Lees Pond SS#2 SS2,
9326606,99,99,NHDES,-72.123167,43.608667,25,Mascoma Lake- Dalton,Mascoma Lake- Dalton,WL3,0,1,4,WBID= 9326606 NHDES 25 Mascoma Lake- Dalton Mascoma Lake- Dalton WL3,
9326606,100,100,NHDES,-72.178533,43.648167,25,Mascoma Lake- Dam End,Mascoma Lake- Dam End,WL2,0,1,4,WBID= 9326606 NHDES 25 Mascoma Lake- Dam End Mascoma Lake- Dam End WL2,
9326606,102,102,NHDES,-72.157883,43.631433,25,Mascoma Lake- Shakoma,Mascoma Lake- Shakoma,SS1,0,1,4,WBID= 9326606 NHDES 25 Mascoma Lake- Shakoma Mascoma Lake- Shakoma SS1,
9326606,103,103,NHDES,-72.1503,43.627889,25,MASENF1D,MASCOMA LAKE-STATION 1 DEEP SPOT,WL1,0,1,4,WBID= 9326606 NHDES 25 MASENF1D MASCOMA LAKE-STATION 1 DEEP SPOT WL1,
6764472,104,104,NHDES,-72.0553,42.859778,26,THOJAFD,THORNDIKE POND-DEEP SPOT,WL2,0,1,5,WBID= 6764472 NHDES 26 THOJAFD THORNDIKE POND-DEEP SPOT WL2,
6764472,106,106,NHDES,-72.0597,42.8504,26,THOJAFSW,THORNDIKE POND-SOUTH WEST INLET,SS1,0,1,5,WBID= 6764472 NHDES 26 THOJAFSW THORNDIKE POND-SOUTH WEST INLET SS1,
6764472,107,107,NHDES,-72.055078,42.86461,26,Thorndike Pond WL#1,Thorndike Pond WL#1,WL1,0,1,5,WBID= 6764472 NHDES 26 Thorndike Pond WL#1 Thorndike Pond WL#1 WL1,
6764472,108,108,NHDES,-72.056494,42.850453,26,Thorndike Pond WL#3,Thorndike Pond WL#3,WL3,0,1,5,WBID= 6764472 NHDES 26 Thorndike Pond WL#3 Thorndike Pond WL#3 WL3,
6738192,109,109,NHDES,-71.5519,43.620083,27,WICMERD,WICWAS LAKE-DEEP SPOT,WL1,0,1,5,WBID= 6738192 NHDES 27 WICMERD WICWAS LAKE-DEEP SPOT WL1,
6738192,110,110,NHDES,-71.5485,43.609694,27,WICMEREC,WICWAS LAKE-EAST COVE,WL2,0,1,5,WBID= 6738192 NHDES 27 WICMEREC WICWAS LAKE-EAST COVE WL2,
6738192,111,111,NHDES,-71.551283,43.604747,27,WICMERLR,WICWAS LAKE-LAUNCH RAMP,SS1,0,1,5,WBID= 6738192 NHDES 27 WICMERLR WICWAS LAKE-LAUNCH RAMP SS1,
6738192,112,112,NHDES,-71.5525,43.609778,27,WICMER2,WICWAS LAKE-WEST COVE,WL3,0,1,5,WBID= 6738192 NHDES 27 WICMER2 WICWAS LAKE-WEST COVE WL3,
6738192,113,113,NHDES,-71.555961,43.606898,27,Wicwas Lake SS#2,NA,SS2,0,1,5,WBID= 6738192 NHDES 27 Wicwas Lake SS#2 SS2,
6764368,114,114,NHDES,-72.070194,42.936528,28,SKAHARD,LAKE SKATUTAKEE-DEEP SPOT,WL1,0,1,2,WBID= 6764368 NHDES 28 SKAHARD LAKE SKATUTAKEE-DEEP SPOT WL1,
6776101,117,117,NHDES,-72.171,43.178889,30,Sand Pond SS#1,NA,SS1,0,1,4,WBID= 6776101 NHDES 30 Sand Pond SS#1 SS1,
6776101,119,119,NHDES,-72.161336,43.175083,30,Sand Pond WL#2,NA,WL2,0,1,4,WBID= 6776101 NHDES 30 Sand Pond WL#2 WL2,
6776101,120,120,NHDES,-72.1668,43.1838,30,SANMLWD,NA,WL1,0,1,4,WBID= 6776101 NHDES 30 SANMLWD WL1,
6760634,121,121,NHDES,-71.766389,43.2165,31,CLEHOPD,CLEMENT POND-DEEP SPOT,WL1,0,1,3,WBID= 6760634 NHDES 31 CLEHOPD CLEMENT POND-DEEP SPOT WL1,
6760634,122,122,NHDES,-71.76939,43.215482,31,Clement Pond WL#2,Clement Pond WL#2,WL2,0,1,3,WBID= 6760634 NHDES 31 Clement Pond WL#2 Clement Pond WL#2 WL2,
6760634,123,123,NHDES,-71.767008,43.220439,31,Clement Pond WL#3,Clement Pond WL#3,WL3,0,1,3,WBID= 6760634 NHDES 31 Clement Pond WL#3 Clement Pond WL#3 WL3,
6742962,124,124,NHDES,-71.4805,42.928583,32,SEBBEDB,SEBBINS POND-BACK PD INLET,WL2,0,1,5,WBID= 6742962 NHDES 32 SEBBEDB SEBBINS POND-BACK PD INLET WL2,
6742962,125,125,NHDES,-71.478278,42.928083,32,SEBBEDD,SEBBINS POND-DEEP SPOT,WL1,0,1,5,WBID= 6742962 NHDES 32 SEBBEDD SEBBINS POND-DEEP SPOT WL1,
6742962,128,128,NHDES,-71.479531,42.928521,32,Sebbins Pond WL#3,Sebbins Pond WL#3,WL3,0,1,5,WBID= 6742962 NHDES 32 Sebbins Pond WL#3 Sebbins Pond WL#3 WL3,
6776219,129,129,NHDES,-72.141361,43.020972,33,GRASTDD,GRANITE LAKE-DEEP SPOT,WL1,0,1,3,WBID= 6776219 NHDES 33 GRASTDD GRANITE LAKE-DEEP SPOT WL1,
6776219,130,130,NHDES,-72.144856,43.02371,33,Granite Lake WL#2,Granite Lake WL#2,WL2,0,1,3,WBID= 6776219 NHDES 33 Granite Lake WL#2 Granite Lake WL#2 WL2,
6776219,131,131,NHDES,-72.135286,43.023977,33,Granite Lake WL#3,Granite Lake WL#3,WL3,0,1,3,WBID= 6776219 NHDES 33 Granite Lake WL#3 Granite Lake WL#3 WL3,
6738112,132,132,NHDES,-71.45834,43.727584,34,Lake Kanesatka- Beach,NA,Other,0,1,2,WBID= 6738112 NHDES 34 Lake Kanesatka- Beach Other,
6738112,133,133,NHDES,-71.458361,43.727553,34,Lake Kanesatka- Dock,NA,Other,0,1,2,WBID= 6738112 NHDES 34 Lake Kanesatka- Dock Other,
22287529,134,134,NHDES,-72.057692,42.986258,35,NUBNELD,NUBANUSIT LAKE-DEEP SPOT,WL1,0,1,3,WBID= 22287529 NHDES 35 NUBNELD NUBANUSIT LAKE-DEEP SPOT WL1,
22287529,135,135,NHDES,-72.0467,42.996,35,NUBNELH,NUBANUSIT LAKE-HANCOCK LANDING,SS1,0,1,3,WBID= 22287529 NHDES 35 NUBNELH NUBANUSIT LAKE-HANCOCK LANDING SS1,
5849752,139,139,NHDES,-71.176194,42.908,37,SHOSDN-GEN,SHOWELL POND-GENERIC,Other,0,1,1,WBID= 5849752 NHDES 37 SHOSDN-GEN SHOWELL POND-GENERIC Other,
6739518,140,140,NHDES,-71.371778,43.04,38,TOWCND-GEN,TOWER HILL POND-GENERIC,Other,0,1,1,WBID= 6739518 NHDES 38 TOWCND-GEN TOWER HILL POND-GENERIC Other,
